OfferedLoad,TopologyNumber,nSta,RngRun,Distance,PayloadSize,SourceIP,DestinationIP,Throughput,Delay,RtsCts
200,A,1,1,1,1472,192.168.1.2,192.168.1.1,109.096,1.03778,1
200,C,1,1,1,1472,192.168.3.2,192.168.3.1,69.2768,1.57849,1
200,B,1,1,1,1472,192.168.2.2,192.168.2.1,25.3534,3.61106,1
200,D,1,1,1,1472,192.168.4.2,192.168.4.1,101.225,1.11213,1
200,C,1,2,1,1472,192.168.3.2,192.168.3.1,69.3273,1.57761,1
200,B,1,2,1,1472,192.168.2.2,192.168.2.1,25.3564,3.61006,1
200,D,1,2,1,1472,192.168.4.2,192.168.4.1,101.128,1.11361,1
200,A,1,2,1,1472,192.168.1.2,192.168.1.1,109.043,1.03779,1
200,C,1,3,1,1472,192.168.3.2,192.168.3.1,69.3364,1.57719,1
200,A,1,3,1,1472,192.168.1.2,192.168.1.1,109.05,1.03786,1
200,B,1,3,1,1472,192.168.2.2,192.168.2.1,25.3679,3.60898,1
200,D,1,3,1,1472,192.168.4.2,192.168.4.1,101.205,1.11303,1
200,D,1,4,1,1472,192.168.4.2,192.168.4.1,101.255,1.11261,1
200,B,1,4,1,1472,192.168.2.2,192.168.2.1,25.4014,3.60598,1
200,A,1,4,1,1472,192.168.1.2,192.168.1.1,109.066,1.03741,1
200,C,1,4,1,1472,192.168.3.2,192.168.3.1,69.3344,1.57673,1
200,A,1,1,2,1472,192.168.1.2,192.168.1.1,109.058,1.03797,1
200,C,1,1,2,1472,192.168.3.2,192.168.3.1,69.1465,1.58131,1
200,B,1,1,2,1472,192.168.2.2,192.168.2.1,25.3059,3.61574,1
200,D,1,1,2,1472,192.168.4.2,192.168.4.1,101.008,1.11455,1
200,C,1,2,2,1472,192.168.3.2,192.168.3.1,69.1525,1.58121,1
200,B,1,2,2,1472,192.168.2.2,192.168.2.1,25.3224,3.61351,1
200,D,1,2,2,1472,192.168.4.2,192.168.4.1,100.94,1.1156,1
200,A,1,2,2,1472,192.168.1.2,192.168.1.1,108.92,1.03884,1
200,C,1,3,2,1472,192.168.3.2,192.168.3.1,69.1953,1.57995,1
200,A,1,3,2,1472,192.168.1.2,192.168.1.1,108.995,1.03827,1
200,B,1,3,2,1472,192.168.2.2,192.168.2.1,25.3215,3.61419,1
200,D,1,3,2,1472,192.168.4.2,192.168.4.1,101.009,1.11508,1
200,D,1,4,2,1472,192.168.4.2,192.168.4.1,101.137,1.11411,1
