OfferedLoad,TopologyNumber,nSta,RngRun,Distance,PayloadSize,SourceIP,DestinationIP,Throughput,Delay,RtsCts
200,A,1,1,1,1472,192.168.1.2,192.168.1.1,112.781,1.00488,0
200,C,1,1,1,1472,192.168.3.2,192.168.3.1,84.4461,1.31774,0
200,B,1,1,1,1472,192.168.2.2,192.168.2.1,37.7726,2.65325,0
200,D,1,1,1,1472,192.168.4.2,192.168.4.1,107.948,1.0455,0
200,C,1,2,1,1472,192.168.3.2,192.168.3.1,84.5042,1.31717,0
200,B,1,2,1,1472,192.168.2.2,192.168.2.1,37.7662,2.6528,0
200,D,1,2,1,1472,192.168.4.2,192.168.4.1,107.872,1.04674,0
200,A,1,2,1,1472,192.168.1.2,192.168.1.1,112.712,1.00499,0
200,C,1,3,1,1472,192.168.3.2,192.168.3.1,84.5409,1.31643,0
200,A,1,3,1,1472,192.168.1.2,192.168.1.1,112.801,1.00425,0
200,B,1,3,1,1472,192.168.2.2,192.168.2.1,37.7952,2.65168,0
200,D,1,3,1,1472,192.168.4.2,192.168.4.1,107.948,1.04634,0
200,D,1,4,1,1472,192.168.4.2,192.168.4.1,108.001,1.04593,0
200,B,1,4,1,1472,192.168.2.2,192.168.2.1,37.8357,2.64895,0
200,A,1,4,1,1472,192.168.1.2,192.168.1.1,112.805,1.00399,0
200,C,1,4,1,1472,192.168.3.2,192.168.3.1,84.4905,1.3164,0
200,A,1,1,2,1472,192.168.1.2,192.168.1.1,112.688,1.00567,0
200,C,1,1,2,1472,192.168.3.2,192.168.3.1,84.2744,1.32028,0
200,B,1,1,2,1472,192.168.2.2,192.168.2.1,37.7077,2.65691,0
200,D,1,1,2,1472,192.168.4.2,192.168.4.1,107.76,1.04724,0
200,C,1,2,2,1472,192.168.3.2,192.168.3.1,84.349,1.3193,0
200,B,1,2,2,1472,192.168.2.2,192.168.2.1,37.6998,2.65663,0
200,D,1,2,2,1472,192.168.4.2,192.168.4.1,107.669,1.04887,0
200,A,1,2,2,1472,192.168.1.2,192.168.1.1,112.577,1.00615,0
200,C,1,3,2,1472,192.168.3.2,192.168.3.1,84.3153,1.31974,0
200,A,1,3,2,1472,192.168.1.2,192.168.1.1,112.699,1.0051,0
200,B,1,3,2,1472,192.168.2.2,192.168.2.1,37.7226,2.65567,0
200,D,1,3,2,1472,192.168.4.2,192.168.4.1,107.772,1.04797,0
